,重庆,青岛,西藏,上海,北京,昆明,厦门,长沙,成都,青海,内蒙,武汉
重庆,0,940,1100,820,990,610,770,420,96,1010,890,410
青岛,840,0,1430,410,470,1120,480,680,1110,1400,820,730
西藏,1480,2210,0,3270,2390,1530,2124,1750,1480,920,2220,2210
上海,760,600,2820,0,590,910,498,500,820,1110,920,360
北京,930,420,1880,460,0,1010,670,660,820,970,720,530
昆明,390,1120,1530,840,980,0,690,580,538,798,960,885
厦门,710,550,1570,492,740,750,0,480,1000,1080,990,490
长沙,540,900,1490,590,670,650,596,0,868,1069,750,630
成都,96,1250,1290,840,840,580,1000,630,0,850,720,628
青海,1010,1800,1060,1190,1270,725,1100,1060,900,0,1030,1010
内蒙,880,870,1350,950,490,995,923,505,1020,730,0,570
武汉,530,780,1460,310,500,650,440,630,780,940,770,0